CountryName,FragilityIndex,m0_4,m5_9,m10_14,m15_19,m20_24,m25_29,m30_34,m35_39,m40_44,m45_49,m50_54,m55_59,m60_64,m65_69,m70_74,m75_79,m80_84,m85_89,m90_94,m95_99,m100_
Malawi,89.2,1406273,1261264,1023357,827561,678240,580293,532035,408046,273006,191255,150217,116629,93780,84843,61380,40455,23437,11065,4435,1487,287
Malaysia,66.1,1288652,1347736,1415911,1456493,1512992,1512705,1338990,1099518,968503,880005,767861,627594,473626,331275,219818,133431,65693,31119,12878,3288,428
Maldives,75.4,19255,15999,15018,20635,31515,33544,24330,17121,13592,10600,8624,5800,3394,2678,2629,2014,1139,448,148,32,2
Mali,89.3,1669648,1360781,1097119,881224,746443,646402,543723,425209,315902,233849,182920,150070,123096,93823,65403,34804,15281,4120,394,5,0
Malta,42.4,10819,10251,10305,13265,16640,17559,17299,16468,14203,13183,15198,15184,14089,14420,7700,6436,3731,1784,531,81,6
Mauritania,91.7,328662,274253,222330,186580,155431,129925,105655,87637,75237,62686,52426,42292,32581,24728,18412,12620,7809,4379,1198,177,6
Mauritius,44.5,38513,46100,49334,50282,51661,46833,52964,49874,44540,49092,45827,38644,30595,18693,11652,7982,4383,2150,620,117,14
Mexico,73.1,5650824,5680873,5696472,5478075,5173290,4652196,4252029,3995273,3664454,3166149,2654610,2136442,1659856,1235739,924226,652528,408943,221866,92295,26756,4973
Micronesia,72.9,6284,6151,6406,6414,5542,4264,3421,3125,2757,2619,2427,2135,1526,829,425,262,114,44,12,1,0
Moldova,76.5,113411,98944,93655,116794,147029,158219,127651,112600,101764,101137,119839,107956,93177,41567,40384,27833,15419,5432,1103,101,8
Mongolia,57.8,168407,126508,117366,124414,147154,143104,120967,109126,94893,82585,67125,43472,25356,17007,14110,7839,3889,1295,398,63,3
Montenegro,54.4,20472,19684,20992,22315,22301,23700,23324,21299,20015,20571,21326,21115,17411,10754,10031,7834,4214,1383,281,58,8
Morocco,74.3,1732057,1600427,1565906,1565095,1572117,1478381,1339018,1185884,1052609,942093,847484,701517,538638,364670,236918,151744,83073,27992,4736,417,21
Mozambique,82.8,2246051,1866985,1618775,1355233,1126053,912909,726753,625513,519703,378828,284062,220592,167948,119030,83773,45634,20491,6324,1235,141,8
Myanmar,94.6,2322323,2357089,2394017,2363562,2300820,2235431,2082906,1880454,1702598,1490761,1243096,1006512,741554,480255,325523,205734,100316,31745,5586,344,2
Namibia,70.4,152719,126684,120887,121291,118905,90823,73414,63658,52821,42176,30660,23088,18313,13633,8365,4712,2427,1028,287,52,6
Nepal,91.8,1505446,1592390,1699415,1540119,1128484,879710,806872,739073,667975,592563,518943,457251,383172,286503,192257,106342,49087,16008,3009,269,9
Netherlands,26.9,465007,485276,520831,514891,539001,524438,510999,511990,629874,652249,625714,562044,524598,477943,325899,234079,151957,73294,23341,3291,260
New Zealand,22.7,160204,153751,152435,160392,160281,137024,130156,131992,150036,150409,151335,132411,118182,100091,74455,51093,36171,19512,6183,1123,108
Nicaragua,79.2,349208,334862,336409,339926,315345,266699,227267,197342,163760,128373,101439,80181,62811,42891,32840,22198,10308,2771,439,46,2
Niger,99,1904536,1524918,1232080,982951,773608,639094,541033,435317,355991,301327,246220,191604,132195,88942,57921,29375,11308,2801,350,22,3
Nigeria,100.7,15559266,12962394,10800487,9002436,7570473,6532225,5751656,4743009,3721932,3007291,2448660,1943993,1474568,1142105,755069,419682,181066,54457,9368,770,30
